Benchmark                                   (matching)          (mode)  Mode  Cnt       Score       Error  Units
ForallTripleIterable.nested                        N/A     large-false  avgt   10   29950.043 ±  1396.101  ns/op
ForallTripleIterable.nested                        N/A     large-front  avgt   10      11.485 ±     0.023  ns/op
ForallTripleIterable.nested                        N/A      large-back  avgt   10     140.668 ±     0.729  ns/op
ListIndexOf.base                                   N/A     small-false  avgt   10      44.792 ±     0.470  ns/op
ListIndexOf.base                                   N/A  small-contains  avgt   10      26.179 ±     3.703  ns/op
ListIndexOf.base                                   N/A     large-false  avgt   10    4045.505 ±    26.503  ns/op
ListIndexOf.base                                   N/A     large-front  avgt   10     229.229 ±     3.517  ns/op
ListIndexOf.base                                   N/A      large-back  avgt   10    4126.257 ±    59.346  ns/op
ListIndexOf.it                                     N/A     small-false  avgt   10      21.994 ±     0.330  ns/op
ListIndexOf.it                                     N/A  small-contains  avgt   10      11.411 ±     0.126  ns/op
ListIndexOf.it                                     N/A     large-false  avgt   10    2384.384 ±    27.940  ns/op
ListIndexOf.it                                     N/A     large-front  avgt   10     125.114 ±     5.253  ns/op
ListIndexOf.it                                     N/A      large-back  avgt   10    2294.533 ±    39.023  ns/op
ListIndexOf.while_mut                              N/A     small-false  avgt   10      20.586 ±     0.265  ns/op
ListIndexOf.while_mut                              N/A  small-contains  avgt   10      12.230 ±     0.113  ns/op
ListIndexOf.while_mut                              N/A     large-false  avgt   10    2360.252 ±    37.949  ns/op
ListIndexOf.while_mut                              N/A     large-front  avgt   10     118.255 ±     1.608  ns/op
ListIndexOf.while_mut                              N/A      large-back  avgt   10    2185.195 ±    23.718  ns/op
ListRemoveFirst.iterator_takewhile_concat          N/A     small-false  avgt   10     159.368 ±    14.152  ns/op
ListRemoveFirst.iterator_takewhile_concat          N/A  small-contains  avgt   10     136.425 ±     7.064  ns/op
ListRemoveFirst.iterator_takewhile_concat          N/A     large-false  avgt   10   13167.978 ±   783.192  ns/op
ListRemoveFirst.iterator_takewhile_concat          N/A     large-front  avgt   10   11084.562 ±  1972.526  ns/op
ListRemoveFirst.iterator_takewhile_concat          N/A      large-back  avgt   10   16000.895 ±   414.540  ns/op
ListRemoveFirst.mutating_filter                    N/A     small-false  avgt   10      22.528 ±     0.471  ns/op
ListRemoveFirst.mutating_filter                    N/A  small-contains  avgt   10      42.979 ±     0.446  ns/op
ListRemoveFirst.mutating_filter                    N/A     large-false  avgt   10    2572.993 ±    61.845  ns/op
ListRemoveFirst.mutating_filter                    N/A     large-front  avgt   10    2614.761 ±   118.571  ns/op
ListRemoveFirst.mutating_filter                    N/A      large-back  avgt   10    8285.924 ±   126.814  ns/op
ListRemoveFirst.span_concat                        N/A  small-contains  avgt   10      53.907 ±     1.774  ns/op
ListRemoveFirst.span_concat                        N/A     large-front  avgt   10     608.033 ±    14.111  ns/op
ListRemoveFirst.span_concat                        N/A      large-back  avgt   10   10737.059 ±   184.491  ns/op
ListRemoveFirst.splitAt_concat                     N/A     small-false  avgt   10      47.958 ±     0.747  ns/op
ListRemoveFirst.splitAt_concat                     N/A  small-contains  avgt   10      91.282 ±    35.660  ns/op
ListRemoveFirst.splitAt_concat                     N/A     large-false  avgt   10    4333.478 ±    47.833  ns/op
ListRemoveFirst.splitAt_concat                     N/A     large-front  avgt   10     817.260 ±    22.780  ns/op
ListRemoveFirst.splitAt_concat                     N/A      large-back  avgt   10   14514.516 ±  1363.510  ns/op
ListRemoveFirst.tailrec_acc                        N/A     small-false  avgt   10      41.129 ±     7.482  ns/op
ListRemoveFirst.tailrec_acc                        N/A  small-contains  avgt   10      32.469 ±     1.283  ns/op
ListRemoveFirst.tailrec_acc                        N/A     large-false  avgt   10    5268.691 ±    74.155  ns/op
ListRemoveFirst.tailrec_acc                        N/A     large-front  avgt   10     350.014 ±     6.898  ns/op
ListRemoveFirst.tailrec_acc                        N/A      large-back  avgt   10    8080.141 ±   141.665  ns/op
